,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
0,Australia,2020-08-11 06:35:16,-25.0,133.0,21713.0,331.0,12391.0,8991.0,85.28380145877604,,,1.5244323677059826,36,AUS
1,Austria,2020-08-11 06:35:16,47.5162,14.5501,22106.0,723.0,20010.0,1373.0,245.44768164860542,,,3.270605265538768,40,AUT
2,Canada,2020-08-11 06:35:16,60.00100000000001,-95.001,122053.0,9034.0,108050.0,4970.0,322.41642223409303,,,7.4017025390609,124,CAN
3,China,2020-08-11 06:35:16,30.5928,114.3055,88906.0,4689.0,82247.0,1970.0,6.329287260076491,,,5.274109733876228,156,CHN
4,Denmark,2020-08-11 06:35:16,56.2639,9.5018,15142.0,620.0,13164.0,1358.0,261.42039565947533,,,4.094571390833443,208,DNK
5,Finland,2020-08-11 06:35:16,61.9241,25.7482,7601.0,333.0,6980.0,288.0,137.1843865722818,,,4.381002499671096,246,FIN
6,France,2020-08-11 06:35:16,46.2276,2.2137,239349.0,30327.0,82971.0,126051.0,366.6862601172739,,,12.670619054184474,250,FRA
7,Germany,2020-08-11 06:35:16,51.165691,10.451526,218508.0,9207.0,198039.0,11262.0,260.79936913927844,,,4.213575704322039,276,DEU
8,Iceland,2020-08-11 06:35:16,64.9631,-19.0208,1962.0,10.0,1838.0,114.0,574.9450549450551,,,0.509683995922528,352,ISL
9,Ireland,2020-08-11 06:35:16,53.1424,-7.6921,26768.0,1772.0,23364.0,1632.0,542.1042100564705,,,6.619844590555887,372,IRL
10,Italy,2020-08-11 06:35:16,41.8719,12.5674,250825.0,35209.0,202248.0,13368.0,414.84852227756005,,,14.037276985946374,380,ITA
11,Netherlands,2020-08-11 06:35:16,52.3167,5.55,60058.0,6178.0,237.0,53643.0,350.5015765217519,,,10.286722834593228,528,NLD
12,Norway,2020-08-11 06:35:16,60.472,8.4689,9684.0,256.0,8857.0,571.0,178.6306532709663,,,2.643535729037588,578,NOR
13,Russia,2020-08-11 06:35:16,61.524,105.3188,890799.0,14973.0,695317.0,180509.0,610.4103170697311,,,1.6808505622480492,643,RUS
14,Sweden,2020-08-11 06:35:16,60.1282,18.6435,82972.0,5766.0,,77206.0,821.5643308872818,,,6.949332304873932,752,SWE
15,Switzerland,2020-08-11 06:35:16,46.8182,8.2275,36708.0,1987.0,32400.0,2321.0,424.14350350298537,,,5.412988994224691,756,CHE
